id,ad,sehir,kategori,fiyat_seviyesi,puan,etiketler,enlem,boylam
41,Macka Demokrasi Parki,Istanbul,doga,1,4.6,kopek cimler spor teleferik,41.044,28.995
42,Moda Atolyesi,Istanbul,kafe,1,3.9,kahve gurme sanat kitap aile,40.9812,29.026786
43,Karakoy Meselik Alani,Istanbul,doga,2,4.7,kitap sanat aile calisma yesillik,41.021212,28.975591
44,Kadikoy Sofrasi,Istanbul,restoran,2,4.2,tarihi kahve gurme,40.988381,29.023223
45,Sultanahmet Botanık Bahcesi,Istanbul,doga,3,4.5,kahve aile kitap sanat deniz_manzarasi,41.010457,28.978838
46,Sultanahmet Parki,Istanbul,doga,3,4.2,deniz_manzarasi kahve calisma,41.009637,28.973367
47,Uskudar Sahil Yolu,Istanbul,gezi,2,4.1,kitap gurme kahve tatli,41.024961,29.014676
48,Uskudar Atolyesi,Istanbul,kultur,3,4.7,calisma gurme tarihi sessiz kitap,41.029916,29.01812
49,Nisantasi Meydani,Istanbul,gezi,1,4.0,tarihi calisma yesillik aile romantik,41.049688,28.996543
50,Bebek Botanık Bahcesi,Istanbul,doga,1,3.9,aile tarihi calisma tatli yesillik,41.078976,29.041427
51,Moda Sofrasi,Istanbul,restoran,4,4.7,kahve aile gurme yesillik deniz_manzarasi,40.98028,29.030444
52,Kadikoy Atolyesi,Istanbul,kafe,2,4.8,tarihi kahve deniz_manzarasi aile tatli,40.992078,29.027007
53,Beyoglu Parki,Istanbul,doga,2,4.0,deniz_manzarasi gurme sanat calisma tatli,41.032061,28.972851
54,Bebek Espresso Bar,Istanbul,kafe,3,4.8,deniz_manzarasi calisma sessiz gurme,41.075593,29.038156
55,Moda Sanat Galerisi,Istanbul,kultur,4,4.0,tatli gurme yesillik,40.986824,29.029262
56,Bebek Millet Bahcesi,Istanbul,doga,2,4.4,kitap calisma deniz_manzarasi aile tarihi,41.080715,29.045431
57,Moda Meyhanesi,Istanbul,restoran,3,3.9,calisma romantik kitap sessiz kahve,40.979512,29.025168
58,Moda Kitap Kafe,Istanbul,kafe,1,4.8,gurme yesillik calisma sanat,40.981643,29.029113
59,Uskudar Bistro,Istanbul,restoran,2,4.3,kahve gurme aile,41.025784,29.016256
60,Kadikoy Roastery,Istanbul,kafe,2,4.0,calisma kitap gurme,40.988221,29.023714
61,Besiktas Caddesi,Istanbul,gezi,3,4.9,sanat kahve sessiz kitap,41.040998,29.009386
62,Karakoy Kebap & Izgara,Istanbul,restoran,4,4.1,sessiz tatli aile kitap,41.024885,28.97571
63,Uskudar Caddesi,Istanbul,gezi,1,3.9,gurme yesillik tatli calisma deniz_manzarasi,41.027573,29.018844
64,Bebek Atolyesi,Istanbul,kafe,4,3.9,sanat kitap tatli sessiz,41.075509,29.038401
65,Besiktas Espresso Bar,Istanbul,kafe,2,4.3,kahve romantik calisma sessiz,41.039544,29.008895
66,Bebek Seyir Tepesi,Istanbul,gezi,3,4.1,deniz_manzarasi aile tatli,41.074634,29.04373
67,Sultanahmet Roastery,Istanbul,kafe,2,3.9,kahve sanat calisma,41.007666,28.980988
68,Sultanahmet Coffee Co.,Istanbul,kafe,3,4.4,kitap deniz_manzarasi romantik sanat sessiz,41.006956,28.974262
69,Moda Mutfagi,Istanbul,restoran,1,4.5,tatli deniz_manzarasi gurme calisma tarihi,40.979923,29.025856
70,Beyoglu Millet Bahcesi,Istanbul,doga,3,3.8,kahve gurme aile,41.030009,28.979265
71,Sultanahmet Sofrasi,Istanbul,restoran,1,4.8,sanat aile kitap sessiz,41.011838,28.974293
72,Besiktas Korusu,Istanbul,doga,2,4.8,aile tatli sessiz,41.045677,29.00666
73,Kadikoy Sahil Yolu,Istanbul,gezi,4,4.1,sanat aile romantik tatli,40.990457,29.026335
74,Besiktas Kebap & Izgara,Istanbul,restoran,1,4.6,aile gurme calisma deniz_manzarasi,41.039198,29.007893
75,Nisantasi Kitap Kafe,Istanbul,kafe,1,4.0,tarihi deniz_manzarasi calisma romantik,41.051766,28.990597
76,Sultanahmet Meydani (8),Istanbul,gezi,1,4.9,sanat aile kitap tarihi sessiz,41.011735,28.975233
77,Besiktas Botanık Bahcesi,Istanbul,doga,1,4.8,kitap tarihi aile sanat,41.039306,29.006773
78,Karakoy Meydani,Istanbul,gezi,1,4.5,gurme kitap calisma tarihi aile,41.02667,28.974014
79,Sultanahmet Botanık Bahcesi (9),Istanbul,doga,2,4.1,sanat deniz_manzarasi aile tarihi,41.009307,28.973997
80,Besiktas Kebap & Izgara (6),Istanbul,restoran,2,3.8,tatli romantik gurme deniz_manzarasi aile,41.044319,29.005033
81,Beyoglu Kebap & Izgara,Istanbul,restoran,2,4.7,yesillik kitap gurme calisma,41.034286,28.976853
82,Besiktas Kahvecisi,Istanbul,kafe,3,4.0,kahve calisma deniz_manzarasi gurme,41.043124,29.007064
83,Kadikoy Kebap & Izgara,Istanbul,restoran,3,4.2,aile gurme romantik calisma,40.98989,29.027148
84,Nisantasi Meyhanesi,Istanbul,restoran,3,4.6,aile calisma tatli,41.053248,28.989044
85,Uskudar Espresso Bar,Istanbul,kafe,2,4.8,tatli yesillik sanat romantik,41.023994,29.019787
86,Uskudar Meselik Alani,Istanbul,doga,3,4.7,tatli yesillik gurme deniz_manzarasi,41.025414,29.020255
87,Beyoglu Millet Bahcesi (4),Istanbul,doga,2,4.2,kitap deniz_manzarasi calisma,41.033014,28.974197
88,Bebek Coffee Co.,Istanbul,kafe,2,4.2,kitap calisma kahve,41.074207,29.041064
89,Uskudar Sanat Galerisi,Istanbul,kultur,1,4.2,kitap sessiz romantik aile yesillik,41.023655,29.016361
90,Nisantasi Kutuphanesi,Istanbul,kultur,2,4.2,calisma yesillik kitap deniz_manzarasi aile,41.05398,28.993369
91,Nisantasi Bistro,Istanbul,restoran,2,3.9,sanat sessiz aile gurme kahve,41.051739,28.990021
92,Uskudar Lokantasi,Istanbul,restoran,3,4.7,tarihi kitap aile deniz_manzarasi,41.024081,29.015619
93,Beyoglu Bakery & Coffee,Istanbul,kafe,3,4.8,calisma gurme kahve sessiz,41.028155,28.976315
94,Karakoy Espresso Bar,Istanbul,kafe,3,4.0,kahve romantik calisma yesillik deniz_manzarasi,41.022219,28.97501
95,Moda Mutfagi (8),Istanbul,restoran,4,4.0,romantik gurme aile kitap,40.979865,29.025205
96,Karakoy Atolyesi,Istanbul,kafe,3,3.9,kahve romantik sessiz tarihi aile,41.02718,28.980802
97,Sultanahmet Kitap Kafe,Istanbul,kafe,2,4.6,tarihi gurme yesillik tatli,41.00736,28.976922
98,Beyoglu Meselik Alani,Istanbul,doga,2,4.3,romantik deniz_manzarasi tarihi calisma kahve,41.034197,28.975719
99,Uskudar Meselik Alani (9),Istanbul,doga,2,4.1,tarihi tatli yesillik calisma,41.027346,29.015691
100,Beyoglu Botanık Bahcesi,Istanbul,doga,2,4.6,kahve calisma aile,41.032446,28.976133
101,Uskudar Muzesi,Istanbul,kultur,3,4.2,aile calisma deniz_manzarasi,41.028343,29.013744
102,Bebek Botanık Bahcesi (8),Istanbul,doga,2,3.9,tarihi yesillik deniz_manzarasi romantik,41.076404,29.043967
103,Karakoy Meydani (8),Istanbul,gezi,3,4.9,tatli calisma gurme yesillik deniz_manzarasi,41.026943,28.981607
104,Bebek Botanık Bahcesi (9),Istanbul,doga,1,4.4,calisma tarihi tatli deniz_manzarasi,41.080844,29.044661
105,Beyoglu Roastery,Istanbul,kafe,3,4.4,gurme yesillik kahve,41.032427,28.977579
106,Uskudar Muzesi (11),Istanbul,kultur,2,4.4,yesillik kahve gurme aile,41.024726,29.020724
107,Kadikoy Meyhanesi,Istanbul,restoran,3,4.5,calisma kahve sanat,40.991489,29.028593
108,Karakoy Millet Bahcesi,Istanbul,doga,4,4.0,aile deniz_manzarasi romantik sessiz kahve,41.024604,28.977542
109,Karakoy Iskelesi,Istanbul,gezi,3,4.3,kahve tatli sessiz aile yesillik,41.021649,28.975919
110,Kadikoy Mutfagi,Istanbul,restoran,3,4.5,kahve gurme calisma deniz_manzarasi,40.990656,29.026624
111,Karakoy Sanat Galerisi,Istanbul,kultur,3,4.5,tatli kahve sessiz kitap,41.025356,28.979181
112,Beyoglu Sanat Galerisi,Istanbul,kultur,2,4.5,deniz_manzarasi sanat gurme yesillik,41.03175,28.974433
113,Nisantasi Pasaji,Istanbul,gezi,3,4.0,romantik kitap sessiz deniz_manzarasi gurme,41.050003,28.989731
114,Bebek Atolyesi (10),Istanbul,kultur,2,4.5,yesillik kahve kitap tarihi aile,41.074452,29.042683
115,Besiktas Caddesi (8),Istanbul,gezi,2,4.2,sanat sessiz yesillik kahve,41.044549,29.004306
116,Nisantasi Korusu,Istanbul,doga,2,4.3,sessiz calisma sanat tarihi,41.053261,28.993341
117,Uskudar Coffee Co.,Istanbul,kafe,4,4.5,yesillik kitap kahve sessiz,41.024136,29.014048
118,Karakoy Mutfagi,Istanbul,restoran,4,4.5,calisma kahve yesillik,41.025407,28.978418
119,Besiktas Atolyesi,Istanbul,kultur,1,4.0,yesillik calisma kitap sanat,41.043071,29.004187
120,Bebek Bistro,Istanbul,restoran,2,4.1,tarihi sanat deniz_manzarasi sessiz,41.073558,29.044181
121,Uskudar Kebap & Izgara,Istanbul,restoran,4,4.1,sanat aile yesillik tarihi calisma,41.026309,29.015761
122,Nisantasi Bistro (8),Istanbul,restoran,4,3.9,yesillik aile gurme tatli kitap,41.054204,28.989349
123,Sultanahmet Kitap Kafe (11),Istanbul,kafe,1,4.7,sessiz tatli aile gurme,41.01076,28.973798
124,Beyoglu Pasaji,Istanbul,gezi,2,4.8,gurme sanat aile tarihi,41.033542,28.977199
125,Uskudar Korusu,Istanbul,doga,3,4.6,deniz_manzarasi calisma kahve aile romantik,41.02694,29.014878
126,Moda Kultur Merkezi,Istanbul,kultur,2,4.3,tarihi sessiz deniz_manzarasi,40.984552,29.032227
127,Karakoy Millet Bahcesi (13),Istanbul,doga,3,4.5,tatli kahve romantik,41.025527,28.98034
128,Karakoy Kutuphanesi,Istanbul,kultur,4,4.5,yesillik deniz_manzarasi sessiz kitap,41.022145,28.977689
129,Besiktas Bakery & Coffee,Istanbul,kafe,3,4.0,gurme aile deniz_manzarasi yesillik,41.046562,29.009901
130,Nisantasi Sanat Galerisi,Istanbul,kultur,1,4.8,deniz_manzarasi kitap sessiz aile gurme,41.049898,28.993575
131,Kadikoy Millet Bahcesi,Istanbul,doga,2,4.5,romantik tarihi calisma,40.991663,29.028223
132,Besiktas Atolyesi (11),Istanbul,kafe,1,4.1,sessiz romantik tarihi tatli,41.044171,29.004471
133,Nisantasi Meyhanesi (10),Istanbul,restoran,2,4.7,sanat kitap deniz_manzarasi tatli,41.049057,28.993315
134,Uskudar Iskelesi,Istanbul,gezi,4,4.7,kahve tatli calisma aile,41.028963,29.019434
135,Sultanahmet Kitap Kafe (12),Istanbul,kafe,2,4.7,yesillik tarihi deniz_manzarasi,41.007157,28.975116
136,Sultanahmet Atolyesi,Istanbul,kafe,4,4.1,tarihi romantik calisma kahve yesillik,41.005871,28.9732
137,Nisantasi Coffee Co.,Istanbul,kafe,1,4.3,kahve kitap calisma sanat,41.048363,28.989298
138,Bebek Kutuphanesi,Istanbul,kultur,4,4.1,gurme kahve yesillik aile,41.078938,29.039236
139,Sultanahmet Kebap & Izgara,Istanbul,restoran,4,4.5,kahve gurme tarihi sanat,41.007558,28.974889
140,Kadikoy Atolyesi (9),Istanbul,kultur,1,4.2,kahve gurme calisma sessiz,40.986518,29.021977
141,Besiktas Parki,Istanbul,doga,2,4.0,romantik calisma gurme,41.039549,29.008121
142,Kadikoy Sahil Yolu (10),Istanbul,gezi,1,4.2,kahve gurme sessiz,40.9929,29.025322
143,Karakoy Botanık Bahcesi,Istanbul,doga,1,3.9,kitap aile sanat,41.021126,28.976123
144,Uskudar Pasaji,Istanbul,gezi,2,4.5,romantik sessiz sanat,41.026749,29.016616
145,Kadikoy Bakery & Coffee,Istanbul,kafe,3,4.2,yesillik kitap kahve,40.991778,29.02441
146,Besiktas Coffee Co.,Istanbul,kafe,2,4.5,kitap tarihi aile sanat deniz_manzarasi,41.0412,29.007065
147,Moda Kitap Kafe (10),Istanbul,kafe,2,4.7,kitap calisma aile yesillik gurme,40.984238,29.032022
148,Nisantasi Sanat Galerisi (12),Istanbul,kultur,1,3.9,tarihi tatli yesillik kahve,41.0505,28.9915
149,Nisantasi Atolyesi,Istanbul,kafe,3,4.3,sessiz romantik sanat gurme tarihi,41.05391,28.995494
150,Nisantasi Kahvecisi,Istanbul,kafe,3,4.2,sanat calisma tatli yesillik gurme,41.052803,28.991813
151,Bebek Meydani,Istanbul,gezi,1,4.8,sanat romantik gurme kitap,41.079101,29.042593
152,Beyoglu Coffee Co.,Istanbul,kafe,2,4.2,tarihi sessiz tatli romantik,41.030186,28.978099
153,Besiktas Roastery,Istanbul,kafe,2,4.2,yesillik tarihi tatli gurme,41.044969,29.003721
154,Moda Coffee Co.,Istanbul,kafe,2,4.3,kahve deniz_manzarasi yesillik aile romantik,40.980259,29.029943
155,Karakoy Korusu,Istanbul,doga,1,4.2,gurme romantik yesillik sanat deniz_manzarasi,41.023761,28.974887
156,Kadikoy Coffee Co.,Istanbul,kafe,1,4.3,deniz_manzarasi kitap tarihi,40.987411,29.02269
157,Nisantasi Meyhanesi (15),Istanbul,restoran,3,3.8,sanat gurme tarihi kahve aile,41.051042,28.994629
158,Kadikoy Sanat Galerisi,Istanbul,kultur,2,4.9,aile gurme kitap deniz_manzarasi kahve,40.991897,29.025606
159,Besiktas Millet Bahcesi,Istanbul,doga,2,4.2,aile kahve calisma,41.045656,29.009358
160,Moda Atolyesi (12),Istanbul,kultur,2,4.0,kahve sanat kitap,40.984966,29.026773
161,Sultanahmet Iskelesi,Istanbul,gezi,2,4.0,calisma kahve tatli,41.011666,28.978164
162,Besiktas Coffee Co. (16),Istanbul,kafe,3,4.5,romantik kitap yesillik tarihi,41.04661,29.007024
163,Besiktas Sanat Galerisi,Istanbul,kultur,1,4.3,romantik sessiz tarihi sanat,41.042751,29.007051
164,Kadikoy Kahvecisi,Istanbul,kafe,2,4.4,romantik kitap sanat,40.991654,29.021614
165,Kadikoy Kutuphanesi,Istanbul,kultur,1,4.8,sanat tatli sessiz yesillik,40.990215,29.023572
166,Sultanahmet Espresso Bar,Istanbul,kafe,2,4.8,yesillik kitap sanat romantik tatli,41.009169,28.973313
167,Nisantasi Atolyesi (16),Istanbul,kultur,2,4.2,gurme tarihi kahve kitap romantik,41.053431,28.989419
168,Beyoglu Parki (12),Istanbul,doga,1,4.6,tarihi deniz_manzarasi aile,41.030667,28.976662
169,Moda Pasaji,Istanbul,gezi,1,4.5,gurme kitap sanat,40.982013,29.031333
170,Bebek Meydani (14),Istanbul,gezi,1,4.0,tarihi yesillik calisma,41.075901,29.039442
171,Moda Meydani,Istanbul,gezi,1,4.0,sanat sessiz tarihi tatli aile,40.983062,29.029318
172,Besiktas Sanat Galerisi (18),Istanbul,kultur,3,4.7,yesillik romantik deniz_manzarasi,41.042287,29.007411
173,Karakoy Parki,Istanbul,doga,2,4.1,calisma tarihi romantik yesillik,41.023476,28.980469
174,Nisantasi Meselik Alani,Istanbul,doga,1,4.3,romantik tatli deniz_manzarasi,41.051349,28.990296
175,Sultanahmet Korusu,Istanbul,doga,2,4.8,deniz_manzarasi kahve tatli,41.009691,28.977127
176,Besiktas Sanat Galerisi (19),Istanbul,kultur,2,4.2,tarihi sessiz aile gurme,41.046571,29.003776
177,Nisantasi Kahvecisi (18),Istanbul,kafe,3,4.0,kitap gurme tarihi,41.049796,28.991549
178,Beyoglu Kultur Merkezi,Istanbul,kultur,3,4.4,sessiz kahve kitap deniz_manzarasi calisma,41.034071,28.975753
179,Bebek Sanat Galerisi,Istanbul,kultur,2,4.5,sessiz calisma aile,41.079209,29.039901
180,Moda Kitap Kafe (15),Istanbul,kafe,1,4.0,gurme sanat romantik,40.986241,29.029774
181,Nisantasi Espresso Bar,Istanbul,kafe,2,4.2,gurme kitap kahve,41.050823,28.993565
182,Bebek Meselik Alani,Istanbul,doga,2,4.9,aile yesillik sessiz,41.079291,29.042061
183,Beyoglu Kahvecisi,Istanbul,kafe,1,4.4,gurme kitap kahve tarihi tatli,41.034308,28.974758
184,Besiktas Muzesi,Istanbul,kultur,2,3.8,kitap yesillik sessiz,41.044054,29.008492
185,Karakoy Kahvecisi,Istanbul,kafe,2,4.7,yesillik deniz_manzarasi sessiz calisma gurme,41.028467,28.978123
186,Sultanahmet Meydani (18),Istanbul,gezi,4,4.3,kitap yesillik aile tarihi,41.010395,28.976496
187,Uskudar Pasaji (17),Istanbul,gezi,2,4.2,kahve aile romantik tatli,41.024134,29.013661
188,Moda Iskelesi,Istanbul,gezi,1,4.8,aile tatli yesillik tarihi romantik,40.981365,29.028567
189,Sultanahmet Millet Bahcesi,Istanbul,doga,2,4.7,kahve gurme aile,41.006196,28.98084
190,Besiktas Coffee Co. (21),Istanbul,kafe,3,4.2,sessiz tatli kahve calisma,41.045789,29.007425
191,Nisantasi Korusu (20),Istanbul,doga,2,4.2,tarihi yesillik kahve tatli,41.052841,28.994432
192,Beyoglu Lokantasi,Istanbul,restoran,3,4.0,aile sanat kahve deniz_manzarasi gurme,41.028207,28.973488
193,Beyoglu Kultur Merkezi (16),Istanbul,kultur,3,4.6,tatli yesillik kahve tarihi,41.028981,28.978823
194,Bebek Botanık Bahcesi (17),Istanbul,doga,1,4.0,kitap gurme tatli tarihi calisma,41.080131,29.044811
195,Besiktas Bistro,Istanbul,restoran,1,4.2,tarihi yesillik sanat tatli kahve,41.042952,29.004887
196,Uskudar Millet Bahcesi,Istanbul,doga,2,4.5,tatli tarihi kahve,41.028153,29.019587
197,Sultanahmet Bistro,Istanbul,restoran,4,3.9,tatli aile sanat,41.010242,28.978118
198,Moda Parki,Istanbul,doga,2,4.5,calisma tarihi sanat deniz_manzarasi kahve,40.981433,29.026296
199,Bebek Sahil Yolu,Istanbul,gezi,2,4.4,sanat gurme tatli,41.078,29.042915
200,Besiktas Meselik Alani,Istanbul,doga,4,4.6,sessiz kahve kitap,41.041701,29.009391
201,Beyoglu Bistro,Istanbul,restoran,2,4.9,yesillik gurme sanat,41.032577,28.976945
202,Uskudar Bistro (19),Istanbul,restoran,2,4.3,kahve sessiz tatli yesillik,41.028459,29.016249
203,Sultanahmet Parki (21),Istanbul,doga,2,4.3,tarihi aile tatli kitap kahve,41.006501,28.978747
204,Beyoglu Kultur Merkezi (18),Istanbul,kultur,3,4.8,romantik aile calisma tatli,41.029127,28.972405
205,Sultanahmet Bistro (22),Istanbul,restoran,1,4.2,yesillik deniz_manzarasi kitap sessiz,41.005275,28.980968
206,Uskudar Meyhanesi,Istanbul,restoran,2,4.7,yesillik romantik kitap deniz_manzarasi,41.026667,29.013389
207,Nisantasi Mutfagi,Istanbul,restoran,1,4.4,sessiz aile kitap sanat,41.05382,28.995111
208,Moda Kutuphanesi,Istanbul,kultur,2,4.7,gurme romantik kahve tatli kitap,40.982603,29.029399
209,Sultanahmet Botanık Bahcesi (23),Istanbul,doga,1,4.2,aile sanat sessiz romantik gurme,41.01004,28.974592
210,Uskudar Millet Bahcesi (21),Istanbul,doga,1,4.9,tarihi romantik kitap,41.023192,29.020145
211,Beyoglu Botanık Bahcesi (19),Istanbul,doga,3,4.2,kitap romantik deniz_manzarasi yesillik,41.032059,28.976078
212,Moda Kutuphanesi (19),Istanbul,kultur,4,4.7,gurme sessiz romantik yesillik deniz_manzarasi,40.981461,29.03219
213,Karakoy Espresso Bar (19),Istanbul,kafe,2,4.6,romantik aile tatli calisma sessiz,41.024844,28.978194
214,Karakoy Bakery & Coffee,Istanbul,kafe,3,4.4,calisma aile sanat yesillik sessiz,41.02351,28.975211
215,Bebek Iskelesi,Istanbul,gezi,2,4.5,yesillik sanat tarihi,41.076827,29.041015
216,Beyoglu Millet Bahcesi (20),Istanbul,doga,3,4.3,deniz_manzarasi calisma kitap romantik gurme,41.029538,28.973972
217,Uskudar Pasaji (22),Istanbul,gezi,2,4.9,deniz_manzarasi kahve romantik sanat,41.02947,29.019363
218,Sultanahmet Mutfagi,Istanbul,restoran,3,4.0,tarihi yesillik deniz_manzarasi,41.004337,28.980643
219,Bebek Pasaji,Istanbul,gezi,3,4.4,kitap romantik calisma gurme sessiz,41.078569,29.039098
220,Karakoy Roastery,Istanbul,kafe,4,4.9,gurme tatli sessiz,41.024306,28.979739
221,Besiktas Muzesi (24),Istanbul,kultur,3,4.1,tarihi deniz_manzarasi sessiz kahve,41.04282,29.003596
222,Kadikoy Kebap & Izgara (16),Istanbul,restoran,4,4.9,aile yesillik tatli,40.992058,29.022406
223,Beyoglu Roastery (21),Istanbul,kafe,2,4.8,deniz_manzarasi yesillik sanat romantik,41.030387,28.976822
224,Bebek Atolyesi (21),Istanbul,kultur,3,3.8,kitap yesillik deniz_manzarasi,41.074542,29.038901
225,Sultanahmet Pasaji,Istanbul,gezi,1,4.5,gurme aile kitap sanat tarihi,41.009395,28.974545
226,Besiktas Kebap & Izgara (25),Istanbul,restoran,4,4.1,aile calisma yesillik deniz_manzarasi,41.041589,29.003984
227,Kadikoy Iskelesi,Istanbul,gezi,3,4.8,kahve yesillik deniz_manzarasi tatli aile,40.987876,29.02289
228,Beyoglu Atolyesi,Istanbul,kafe,2,4.9,calisma kitap tatli yesillik romantik,41.035329,28.97436
229,Sultanahmet Kutuphanesi,Istanbul,kultur,2,4.2,calisma kitap romantik kahve yesillik,41.011302,28.979059
230,Moda Kitap Kafe (20),Istanbul,kafe,1,4.0,sanat tatli gurme tarihi yesillik,40.983381,29.029044
231,Uskudar Espresso Bar (23),Istanbul,kafe,2,4.4,sanat aile yesillik,41.025564,29.013445
232,Beyoglu Bakery & Coffee (23),Istanbul,kafe,2,4.6,romantik kahve sessiz,41.030036,28.972024
233,Bebek Roastery,Istanbul,kafe,2,4.8,aile tatli gurme kitap,41.080889,29.041777
234,Uskudar Muzesi (24),Istanbul,kultur,4,4.2,tatli gurme tarihi kahve kitap,41.022642,29.020713
235,Besiktas Bistro (26),Istanbul,restoran,2,4.7,yesillik gurme sanat aile,41.039028,29.002182
236,Karakoy Atolyesi (22),Istanbul,kultur,1,3.9,kahve sessiz aile gurme calisma,41.022241,28.975508
237,Kadikoy Kutuphanesi (18),Istanbul,kultur,2,4.4,kitap sessiz aile,40.990376,29.027978
238,Kadikoy Trattoria,Istanbul,restoran,2,4.0,romantik tarihi kitap gurme calisma,40.992948,29.022873
239,Bebek Kebap & Izgara,Istanbul,restoran,1,4.2,kitap tatli aile sanat yesillik,41.075404,29.038488
240,Nisantasi Botanık Bahcesi,Istanbul,doga,1,4.0,aile tatli sanat yesillik,41.05357,28.992266
241,Besiktas Sanat Galerisi (27),Istanbul,kultur,1,4.5,sanat tatli aile calisma deniz_manzarasi,41.043499,29.009742
242,Uskudar Meydani,Istanbul,gezi,2,4.8,deniz_manzarasi aile romantik,41.026285,29.019635
243,Karakoy Meselik Alani (23),Istanbul,doga,4,3.9,deniz_manzarasi sessiz calisma romantik,41.022736,28.975671
244,Uskudar Sofrasi,Istanbul,restoran,2,4.4,sanat tarihi deniz_manzarasi,41.026835,29.014636
